incidentid,callnum,received,description,latitude,longitude,county,address,fk_stationid
2780,131103233,"2013-11-24 14:31:57","MVA-INJURY ACCID",45.4301920557625,-122.828314519944,W,"SW BARROWS RD/SW HORIZON BV",1
5746,131201094,"2013-12-07 23:23:55","MVA-INJURY ACCID",45.4215412597482,-122.845116190005,W,"SW ROSHAK RD/SW STAHL DR",1
6022,131201284,"2013-12-08 15:57:00","MVA-INJURY ACCID",45.4434472031034,-122.80318992879,W,"12286-BLK SW SCHOLLS FERRY",1
8773,131203130,"2013-12-19 06:17:25","MVA-INJURY ACCID",45.4199191457876,-122.806577634775,W,"12668 SW GAARDE ST",1
26812,140100068,"2014-01-01 11:50:14","MVA-UNK INJURY",45.4428887433287,-122.800937764169,W,"12194 SW SCHOLLS FERRY RD",1
32172,140100727,"2014-01-05 15:56:17","MVA-INJURY ACCID",45.4399528967364,-122.806263910556,W,"SW SUMMER LAK DR/SW GLACIER L CI",1
32176,140100726,"2014-01-05 15:51:33","MVA-INJURY ACCID",45.4399528967364,-122.806263910556,W,"SW SUMMER LAK DR/SW GLACIER L CI",1
35850,140101168,"2014-01-08 17:50:45","MVA-UNK INJURY",45.4186508278262,-122.802376810421,W,"SW GAARDE ST/SW 121ST AV",1
50367,140102774,"2014-01-20 07:14:46","MVA-UNK INJURY",45.4306465427214,-122.815757540476,W,"SW 135TH AV/SW WALNUT ST",1
63220,140104270,"2014-01-30 18:40:50","MVA-UNK INJURY",45.4157669001873,-122.816281620871,W,"14419 SW 134TH DR",1
71403,140200794,"2014-02-06 08:39:22","MVA-UNK INJURY",45.429606402894,-122.80008472329,W,"SW WALNUT ST/SW 121ST AV",1
71843,140200916,"2014-02-06 16:08:22","MVA-INJURY ACCID",45.4155643206328,-122.81829537036,W,"SW BULL MOUNT RD/SW PEACHTREE DR",1
80900,140202306,"2014-02-14 17:45:41","MVA-INJURY ACCID",45.4433385560862,-122.806140087102,W,"12744 SW NORTH DAKOTA ST",1
81567,140202550,"2014-02-16 15:44:30","MVA-INJURY ACCID",45.4301920557625,-122.828314519944,W,"SW HORIZON BV/SW BARROWS RD",1
84162,140204235,"2014-02-28 11:43:50","MVA-INJURY ACCID",45.4373017567392,-122.800279075125,W,"SW 121ST AV/SW SUMMER ST",1
84169,140204234,"2014-02-28 11:43:12","MVA-INJURY ACCID",45.4373017567392,-122.800279075125,W,"SW 121ST AV/SW SUMMER ST",1
84199,140204260,"2014-02-28 14:13:06","MVA-INJURY ACCID",45.4323064606634,-122.822278732308,W,"SW NORTHVIEW DR/SW WALNUT ST",1
86510,140301458,"2014-03-11 09:07:37","MVA-UNK INJURY",45.4155643206328,-122.81829537036,W,"SW BULL MOUNT RD/SW PEACHTREE DR",1
92098,140400520,"2014-04-04 18:11:39","MVA-INJURY ACCID",45.4295191804897,-122.78536660544,W,"10540 SW WALNUT ST",1
93528,140401416,"2014-04-11 01:09:19","MVA-UNK INJURY",45.4153942215181,-122.822227236442,W,"SW BULL MOUNTAIN RD/SW 141ST AV",1
94368,140401917,"2014-04-14 14:18:28","MVA-UNK INJURY",45.4219364451081,-122.811864999932,W,"SW GREENFIELD DR/SW BENCHVIEW TE",1
95165,140402407,"2014-04-17 20:02:12","MVA-INJURY ACCID",45.4432842992371,-122.803923917562,W,"12388 SW SCHOLLS FERRY RD",1
97071,140403582,"2014-04-25 23:04:29","MVA-UNK INJURY",45.4301920557625,-122.828314519944,W,"SW HORIZON BV/SW BARROWS RD",1
100588,140501422,"2014-05-10 11:58:53","MVA-UNK INJURY",45.4265013138571,-122.835882828584,W,"SW 154TH AV/SW BARROWS RD",1
102865,140502852,"2014-05-19 12:23:01","MVA-INJURY ACCID",45.4301920557625,-122.828314519944,W,"SW HORIZON BV/SW BARROWS RD",1
108488,140601816,"2014-06-12 11:52:22","MVA-INJURY ACCID",45.4432085315264,-122.808648913943,W,"12840 SW SCHOLLS FERRY RD",1
112629,140604449,"2014-06-30 01:16:38","MVA-UNK INJURY",45.4298406149494,-122.816398891356,W,"SW MARCIA DR/SW LIDEN DR",1
171066,140701542,"2014-07-10 11:04:10","MVA-UNK INJURY",45.4189074667472,-122.794088392082,W,"11400 SW VIEWMOUNT LN",1
171467,140701808,"2014-07-11 21:00:34","MVA-INJURY ACCID",45.4316456155393,-122.830240727826,W,"SW HORIZON BV/SW SANDHILL LP",1
171472,140701807,"2014-07-11 21:00:23","MVA-INJURY ACCID",45.4316456155393,-122.830240727826,W,"SW SANDHILL LP/SW HORIZON BV",1
175081,140704065,"2014-07-25 12:48:24","MVA-INJURY ACCID",45.4186715339704,-122.797102276232,W,"SW 117TH AV/SW GAARDE ST",1
175320,140704199,"2014-07-26 14:16:32","MVA-INJURY ACCID",45.4301920557625,-122.828314519944,W,"SW BARROWS RD/SW HORIZON BV",1
178505,140801147,"2014-08-07 19:07:45","MVA-INJURY ACCID",45.4288073582226,-122.831644214533,W,"SW BARROWS RD/SW MENLOR LN",1
178763,140801305,"2014-08-08 17:14:27","MVA-INJURY ACCID",45.4154317150788,-122.831333612907,W,"SW BULL MOUNTAIN RD/SW 150TH AV",1
180218,140802259,"2014-08-14 18:54:56","MVA-INJURY ACCID",45.4330435156095,-122.823820927891,W,"SW WALNUT ST/SW BARROWS RD",1
181252,140802945,"2014-08-18 19:58:14","MVA-UNK INJURY",45.4301920557625,-122.828314519944,W,"SW BARROWS RD/SW HORIZON BV",1
