stationid,name,agency,address,county,latitude,longitude
1,50,"TUALATIN VALLEY FIRE & RESCUE","12617 SW WALNUT ST",W,45.428287,-122.806219
3,11,"GASTON RFPD","102 E MAIN ST",W,45.4369236,-123.138566
4,26,"PORTLAND FIRE & RESCUE","5247 N LOMBARD ST",M,45.582208,-122.722639
5,56,"TUALATIN VALLEY FIRE & RESCUE","8455 SW ELLIGSEN RD",W,45.337179,-122.763913
6,65,"CANBY RFPD #62","26815 HIGHWAY 170",C,45.218675,-122.679609
7,253,"HOODLAND RFPD #74","87600 E GOVERNMENT CAMP LOOP",C,45.3040186,-121.7542903
8,74,"GRESHAM FIRE & EMERG SRVCS","1520 NE 192ND AVE",M,45.5339716,-122.4657611
9,53,"TUALATIN VALLEY FIRE & RESCUE","8480 SW SCHOLLS FERRY RD",W,45.4587519,-122.780892
10,18,"PORTLAND FIRE & RESCUE","8720 SW 30TH AVE",M,45.461917,-122.707252
11,990,"MONITOR FD #58","32101 S KROPF RD",C,45.141818,-122.683069
12,61,"TUALATIN VALLEY FIRE & RESCUE","13730 SW BUTNER ROAD",W,45.513983,-122.818509
13,212,"LAKE OSWEGO F&R&LIFE SAFETY","1880 SOUTH SHORE BLVD",C,45.406508,-122.681434
14,25,"PORTLAND FIRE & RESCUE","5211 SE MALL ST",M,45.4915541,-122.6086548
15,64,"TUALATIN VALLEY FIRE & RESCUE","3355 NW 185TH AVE",W,45.5433233,-122.8677305
16,31,"PORTLAND/GRESHAM - SHARED","1927 SE 174TH AVE",M,45.508653,-122.485131
17,115,"ESTACADA RFD #69","40595 SE GEORGE RD",C,45.298564,-122.244493
18,8,"PORTLAND FIRE & RESCUE","7134 N MARYLAND AVE",M,45.574959,-122.68059
19,5,"HILLSBORO FIRE DEPT","2850 NE 25TH AVE",W,45.5458508,-122.9589359
20,51,"TUALATIN VALLEY FIRE & RESCUE","8935 SW BURNHAM ST",W,45.427469,-122.768542
21,110,"ESTACADA RFD #69","261 SE 5TH ST",C,45.285971,-122.3332626
22,71,"SANDY RFPD #72","17460 BRUNS AVE",C,45.3966233,-122.2636827
23,81,"MOLALLA RFPD #73","27689 HIGHWAY 213",C,45.206413,-122.581911
24,4,"PORTLAND FIRE & RESCUE","511 SW COLLEGE ST",M,45.509734,-122.6828611
25,368,"TUALATIN VALLEY FIRE & RESCUE","11646 NW SKYLINE BLVD",W,45.608573,-122.860245
26,15,"CLACKAMAS CO. DISTRICT #1","624 7TH ST",C,45.3558737,-122.6045098
27,14,"CLACKAMAS CO. DISTRICT #1","22295 S LOWER HIGHLAND RD",C,45.2482907,-122.4089098
28,76,"GRESHAM FIRE & EMERG SRVCS","7144 SE 302ND AVE",M,45.470866,-122.352114
29,15,"PORTLAND FIRE & RESCUE","1920 SW SPRING ST",M,45.5091763,-122.6987502
30,3,"CLACKAMAS CO. DISTRICT #1","2930 SE OAK GROVE BLVD",C,45.415089,-122.6329631
31,7,"CLACKAMAS CO. DISTRICT #1","10921 SE 172ND AVE",C,45.4437217,-122.4858009
32,22,"PORTLAND FIRE & RESCUE","7205 N ALTA AVE",M,45.590049,-122.756847
33,72,"GRESHAM FIRE & EMERG SRVCS","500 NE KANE DR",M,45.50182,-122.39983
34,2,"CLACKAMAS CO. DISTRICT #1","3200 SE HARRISON ST",C,45.446136,-122.628724
35,140,"BORING FIRE DISTRICT #59","28655 SE HIGHWAY 212",C,45.4329073,-122.3682846
36,28,"PORTLAND FIRE & RESCUE","5540 NE SANDY BLVD",M,45.541613,-122.6057618
37,8,"CORNELIUS FIRE DEPT","1311 N BARLOW ST",W,45.5217871,-123.0555306
38,33,"TUALATIN VALLEY FIRE & RESCUE","655 NE OREGON ST",W,45.3586438,-122.8357261
39,210,"LAKE OSWEGO F&R&LIFE SAFETY","4900 MELROSE ST",C,45.425722,-122.724924
40,252,"HOODLAND RFPD #74","61388 E HIGHWAY 26",C,45.3757801,-122.0328875
41,52,"TUALATIN VALLEY FIRE & RESCUE","29875 SW KINSMAN RD",W,45.304101,-122.778917
